"Constructor Name","Constructor URL","Engine Manufacturer","Licensed In Country","Base Country","Seasons Active","Wins"
"Osella","https://en.wikipedia.org/wiki/Osella","","Italy","","1980–1990","0"
"Pacific","https://en.wikipedia.org/wiki/Pacific_Racing","","United Kingdom","","1994–1995","0"
"Parnelli","https://en.wikipedia.org/wiki/Vel%27s_Parnelli_Jones_Racing","","United States","","1974–1976","0"
"Penske","https://en.wikipedia.org/wiki/Penske_Racing","","United States","","1974–1977","1"
"Porsche","https://en.wikipedia.org/wiki/Porsche_in_motorsport#Formula_One","","Germany","","1957–1964","1"
"Prost","https://en.wikipedia.org/wiki/Prost_Grand_Prix","","France","","1997–2001","0"
"RAM","https://en.wikipedia.org/wiki/RAM_Racing","","United Kingdom","","1983–1985","0"
"Racing Point Force India","https://en.wikipedia.org/wiki/Racing_Point_Force_India","","United Kingdom","","2018","0"
"Racing Point","https://en.wikipedia.org/wiki/Racing_Point_F1_Team","","United Kingdom","","2019–2020","1"
"RE","https://en.wikipedia.org/wiki/RE_(automobile)","","Rhodesia","","1965","0"
"Renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","","France","","1977–1985, 2002–2011, 2016–2020","35"
"Rebaque","https://en.wikipedia.org/wiki/Rebaque","","Mexico","","1979","0"
"Rial","https://en.wikipedia.org/wiki/Rial_Racing","","Germany","","1988–1989","0"
"Sauber/BMW Sauber/Kick Sauber","https://en.wikipedia.org/wiki/Sauber","","Switzerland","","1993–2018, 2024–2025","1"
"Scarab","https://en.wikipedia.org/wiki/Scarab_(constructor)","","United States","","1960","0"
"Scirocco","https://en.wikipedia.org/wiki/Scirocco-Powell","","United Kingdom","","1963–1964","0"
"Shadow","https://en.wikipedia.org/wiki/Shadow_Racing_Cars","","United States","","1973–1980","1"
"Shannon","https://en.wikipedia.org/wiki/Shannon_(Formula_One)","","United Kingdom","","1966","0"
"Simca-Gordini","https://en.wikipedia.org/wiki/Simca-Gordini","","France","","1950–1953","0"
"Simtek","https://en.wikipedia.org/wiki/Simtek","","United Kingdom","","1994–1995","0"
"Spirit","https://en.wikipedia.org/wiki/Spirit_(racing_team)","","United Kingdom","","1983–1985","0"
"Spyker","https://en.wikipedia.org/wiki/Spyker_F1","","Netherlands","","2007","0"
"Stebro","https://en.wikipedia.org/wiki/Stebro","","Canada","","1963","0"
"Stewart","https://en.wikipedia.org/wiki/Stewart_Grand_Prix","","United Kingdom","","1997–1999","1"
